,hpso01 (Ingest) [Nf_max=16384] [Na=64],hpso01 (RCAL) [Nf_max=16384] [Na=64],hpso01 (FastImg) [Nf_max=16384] [Na=64],hpso01 (ICAL) [Nf_max=16384] [Na=64],hpso01 (DPrepA) [Nf_max=16384] [Na=64],hpso01 (DPrepB) [Nf_max=16384] [Na=64],hpso01 (DPrepC) [Nf_max=16384] [Na=64],hpso01 (DPrepD) [Nf_max=16384] [Na=64],hpso02a (Ingest) [Nf_max=16384] [Na=64],hpso02a (RCAL) [Nf_max=16384] [Na=64],hpso02a (FastImg) [Nf_max=16384] [Na=64],hpso02a (ICAL) [Nf_max=16384] [Na=64],hpso02a (DPrepA) [Nf_max=16384] [Na=64],hpso02a (DPrepB) [Nf_max=16384] [Na=64],hpso02a (DPrepC) [Nf_max=16384] [Na=64],hpso02a (DPrepD) [Nf_max=16384] [Na=64],hpso02b (Ingest) [Nf_max=16384] [Na=64],hpso02b (RCAL) [Nf_max=16384] [Na=64],hpso02b (FastImg) [Nf_max=16384] [Na=64],hpso02b (ICAL) [Nf_max=16384] [Na=64],hpso02b (DPrepA) [Nf_max=16384] [Na=64],hpso02b (DPrepB) [Nf_max=16384] [Na=64],hpso02b (DPrepC) [Nf_max=16384] [Na=64],hpso02b (DPrepD) [Nf_max=16384] [Na=64],hpso04a (Ingest) [Nf_max=16384] [Na=64],hpso04a (RCAL) [Nf_max=16384] [Na=64],hpso04a (FastImg) [Nf_max=16384] [Na=64],hpso04a (PSS) [Nf_max=16384] [Na=64],hpso05a (Ingest) [Nf_max=16384] [Na=64],hpso05a (RCAL) [Nf_max=16384] [Na=64],hpso05a (FastImg) [Nf_max=16384] [Na=64],hpso05a (PST) [Nf_max=16384] [Na=64],max_low (Ingest) [Nf_max=16384] [Na=64],max_low (RCAL) [Nf_max=16384] [Na=64],max_low (FastImg) [Nf_max=16384] [Na=64],max_low (ICAL) [Nf_max=16384] [Na=64],max_low (DPrepA) [Nf_max=16384] [Na=64],max_low (DPrepA_Image) [Nf_max=16384] [Na=64],max_low (DPrepB) [Nf_max=16384] [Na=64],max_low (DPrepC) [Nf_max=16384] [Na=64],max_low (DPrepD) [Nf_max=16384] [Na=64]
Delta W earth2 [lambda],1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,3.6251130946672796,3.6251130946672796,3.6251130946672796,,3.6251130946672796,3.6251130946672796,3.6251130946672796,,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997,1.5104637894446997
Delta W earth3 [lambda],5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,14.500452378669118,14.500452378669118,14.500452378669118,,14.500452378669118,14.500452378669118,14.500452378669118,,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799,6.041855157778799
Delta W earth4 [lambda],22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,58.001809514676474,58.001809514676474,58.001809514676474,,58.001809514676474,58.001809514676474,58.001809514676474,,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196,24.167420631115196
Delta W snapshot0 [lambda],23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.039526300773377786,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),62.234063581847245,62.234063581847245,0.10375653953011668,(undefined),25.930859825769687,25.930859825769687,0.04323189147088195,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W snapshot1 [lambda],47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.07905260154675557,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.20751307906023336,,124.46812716369449,124.46812716369449,0.20751307906023336,,51.861719651539374,51.861719651539374,0.0864637829417639,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W snapshot2 [lambda],94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,0.15810520309351114,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,0.4150261581204667,,248.93625432738898,248.93625432738898,0.4150261581204667,,103.72343930307875,103.72343930307875,0.1729275658835278,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W snapshot3 [lambda],189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,0.3162104061870223,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,0.8300523162409335,,497.87250865477796,497.87250865477796,0.8300523162409335,,207.4468786061575,207.4468786061575,0.3458551317670556,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W snapshot4 [lambda],379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,0.6324208123740446,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,1.660104632481867,,995.7450173095559,995.7450173095559,1.660104632481867,,414.893757212315,414.893757212315,0.6917102635341112,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W max0 [lambda],23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,0.08631221653969713,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,23.70821469784657,62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),62.234063581847245,62.234063581847245,0.22656956841670498,(undefined),25.930859825769687,25.930859825769687,0.09440398684029373,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687,25.930859825769687
Delta W max1 [lambda],47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,0.3452488661587885,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,47.41642939569314,124.46812716369449,124.46812716369449,0.9062782736668199,,124.46812716369449,124.46812716369449,0.9062782736668199,,51.861719651539374,51.861719651539374,0.37761594736117493,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374,51.861719651539374
Delta W max2 [lambda],94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,1.380995464635154,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,94.83285879138629,248.93625432738898,248.93625432738898,3.6251130946672796,,248.93625432738898,248.93625432738898,3.6251130946672796,,103.72343930307875,103.72343930307875,1.5104637894446997,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875,103.72343930307875
Delta W max3 [lambda],189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,5.523981858540616,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,189.66571758277257,497.87250865477796,497.87250865477796,14.500452378669118,,497.87250865477796,497.87250865477796,14.500452378669118,,207.4468786061575,207.4468786061575,6.041855157778799,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575,207.4468786061575
Delta W max4 [lambda],379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,22.095927434162466,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,379.33143516554514,995.7450173095559,995.7450173095559,58.001809514676474,,995.7450173095559,995.7450173095559,58.001809514676474,,414.893757212315,414.893757212315,24.167420631115196,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315,414.893757212315
Delta W stack [lambda],(undefined),105.65223818994923,22.095921480874505,71.98035244092084,103.95509833725335,114.91728088880753,93.14255190491163,(undefined),(undefined),105.65223818994923,22.095921480874505,79.86593474399317,103.95509833725335,114.91728088880753,93.14255190491163,(undefined),(undefined),105.65223818994923,22.095921480874505,79.86593474399317,103.95509833725335,114.91728088880753,93.14255190491163,(undefined),(undefined),437.08885185008927,58.001804130356,(undefined),(undefined),437.08885185008927,58.001804130356,(undefined),(undefined),90.78649935985055,24.167414101974742,73.0905016945441,73.2729015058413,98.8189746492609,116.99528908813141,141.75697794263723,(undefined)
Delta W theory [lambda],(undefined),150.58680283337057,12.587303150687525,79.41139376003576,145.14256061009894,81.42182316591781,81.42182316591781,(undefined),(undefined),150.58680283337057,12.587303150687525,100.63937084657701,145.14256061009894,81.42182316591781,81.42182316591781,(undefined),(undefined),150.58680283337057,12.587303150687525,100.63937084657701,145.14256061009894,81.42182316591781,81.42182316591781,(undefined),(undefined),547.3191953307386,89.35330487828081,(undefined),(undefined),547.3191953307386,89.35330487828081,(undefined),(undefined),148.76599551641874,15.152462172657435,95.02867157184744,97.4319468180022,173.60437969053595,97.4319468180022,15.152462172657435,(undefined)
-- Kernel Sizes --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W kernel support pred0 [uv-pixels],(undefined),1.9954354713889435,0.18455205923435844,3.221029523176981,2.0512375021615408,3.161399749960686,3.161399749960686,(undefined),(undefined),1.9954354713889435,0.18455205923435844,2.6981193008528086,2.0512375021615408,3.161399749960686,3.161399749960686,(undefined),(undefined),1.9954354713889435,0.18455205923435844,2.6981193008528086,2.0512375021615408,3.161399749960686,3.161399749960686,(undefined),(undefined),1.5654154012286539,0.08981558727294352,(undefined),(undefined),1.5654154012286539,0.08981558727294352,(undefined),(undefined),2.153998756863252,0.17264561380323334,3.012751334709158,2.956984018341332,1.9186915624855225,2.956984018341332,11.7585840842431,(undefined)
W kernel support pred1 [uv-pixels],,3.3602042988313445,0.5223241974335304,5.426613405190936,3.454253067333084,5.326038284555795,5.326038284555795,,,3.3602042988313445,0.5223241974335304,4.544765348140602,3.454253067333084,5.326038284555795,5.326038284555795,,,3.3602042988313445,0.5223241974335304,4.544765348140602,3.454253067333084,5.326038284555795,5.326038284555795,,,2.635574396993007,0.254136932091098,,,2.635574396993007,0.254136932091098,,,3.627456426394172,0.4886127695866622,5.075334607528405,4.981285774550603,3.2308660860870924,4.981285774550603,19.856457837827552,
W kernel support pred2 [uv-pixels],,5.661367598698702,1.4792330461194296,7.43180650170586,5.820015910073925,8.97917354708604,8.858211059258924,,,5.661367598698702,1.4792330461194296,6.730124302283981,5.820015910073925,8.97917354708604,8.858211059258924,,,5.661367598698702,1.4792330461194296,6.730124302283981,5.820015910073925,8.97917354708604,8.858211059258924,,,4.439307211390678,0.7193736457952092,,,4.439307211390678,0.7193736457952092,,,5.528733242334771,1.3836854797576588,6.5718807778274035,6.462138336728269,5.248255746957106,8.397076450289363,33.58605179576777,
W kernel support pred3 [uv-pixels],,6.141286316831625,4.194501294411046,7.43180650170586,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,4.194501294411046,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,4.194501294411046,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.782889626767593,2.037893113490042,,,6.782889626767593,2.037893113490042,,,5.528733242334771,3.923139052367293,6.5718807778274035,6.462138336728269,5.248255746957106,9.195195278202114,42.59227873346103,
W kernel support pred4 [uv-pixels],,6.141286316831625,11.923566453263774,7.43180650170586,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,11.923566453263774,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,11.923566453263774,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.782889626767593,5.782075312871504,,,6.782889626767593,5.782075312871504,,,5.528733242334771,11.149775109773483,6.5718807778274035,6.462138336728269,5.248255746957106,9.195195278202114,42.59227873346103,
AW kernel support pred0 [uv-pixels],(undefined),9.218555348886136,9.001891993496013,9.559028778551603,9.230794943571972,9.53910102572834,9.53910102572834,(undefined),(undefined),9.218555348886136,9.001891993496013,9.395735615779875,9.230794943571972,9.53910102572834,9.53910102572834,(undefined),(undefined),9.218555348886136,9.001891993496013,9.395735615779875,9.230794943571972,9.53910102572834,9.53910102572834,(undefined),(undefined),9.135125909280282,9.000448146604544,(undefined),(undefined),9.135125909280282,9.000448146604544,(undefined),(undefined),9.254172607238772,9.001655764800468,9.49087301594494,9.473318029324574,9.20224849218674,9.473318029324574,14.807575752506388,(undefined)
AW kernel support pred1 [uv-pixels],,9.606819084894056,9.015144068023794,10.509430671991607,9.640117439802276,10.457852734120616,10.457852734120616,,,9.606819084894056,9.015144068023794,10.082405073674611,9.640117439802276,10.457852734120616,10.457852734120616,,,9.606819084894056,9.015144068023794,10.082405073674611,9.640117439802276,10.457852734120616,10.457852734120616,,,9.377966325493233,9.003587372833826,,,9.377966325493233,9.003587372833826,,,9.703527200218918,9.013253709876537,10.332425725761377,10.286554718064751,9.562347811402162,10.286554718064751,21.800892593318814,
AW kernel support pred2 [uv-pixels],,10.632548287574128,9.120752732353388,11.671835668771108,10.717862902347353,12.713204064620756,12.628060150726917,,,10.632548287574128,9.120752732353388,11.238085830077713,10.717862902347353,12.713204064620756,12.628060150726917,,,10.632548287574128,9.120752732353388,11.238085830077713,10.717862902347353,12.713204064620756,12.628060150726917,,,10.03531008574749,9.028704139701594,,,10.03531008574749,9.028704139701594,,,10.562522959260138,9.105744643184991,11.144039526041592,11.079676524294975,10.418454222458738,12.308976111440149,34.77100624411084,
AW kernel support pred3 [uv-pixels],,10.895659577341032,9.92944314192976,11.671835668771108,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,9.92944314192976,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,9.92944314192976,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,11.269764491279815,9.227838768748084,,,11.269764491279815,9.227838768748084,,,10.562522959260138,9.817892850515804,11.144039526041592,11.079676524294975,10.418454222458738,12.866686294624209,43.532771652042044,
AW kernel support pred4 [uv-pixels],,10.895659577341032,14.938923554439835,11.671835668771108,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,14.938923554439835,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,14.938923554439835,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,11.269764491279815,10.697307835325583,,,11.269764491279815,10.697307835325583,,,10.562522959260138,14.328903831016671,11.144039526041592,11.079676524294975,10.418454222458738,12.866686294624209,43.532771652042044,
W kernel support bw0 [uv-pixels],(undefined),1.9954354713889435,0.18455205923435844,3.221029523176981,2.0512375021615408,3.161399749960686,3.161399749960686,(undefined),(undefined),1.9954354713889435,0.18455205923435844,2.6981193008528086,2.0512375021615408,3.161399749960686,3.161399749960686,(undefined),(undefined),1.9954354713889435,0.18455205923435844,2.6981193008528086,2.0512375021615408,3.161399749960686,3.161399749960686,(undefined),(undefined),1.5654154012286539,0.08981558727294352,(undefined),(undefined),1.5654154012286539,0.08981558727294352,(undefined),(undefined),2.153998756863252,0.17264561380323334,3.012751334709158,2.956984018341332,1.9186915624855225,2.956984018341332,11.7585840842431,(undefined)
W kernel support bw1 [uv-pixels],,3.3602042988313445,0.5223241974335304,5.426613405190936,3.454253067333084,5.326038284555795,5.326038284555795,,,3.3602042988313445,0.5223241974335304,4.544765348140602,3.454253067333084,5.326038284555795,5.326038284555795,,,3.3602042988313445,0.5223241974335304,4.544765348140602,3.454253067333084,5.326038284555795,5.326038284555795,,,2.635574396993007,0.254136932091098,,,2.635574396993007,0.254136932091098,,,3.627456426394172,0.4886127695866622,5.075334607528405,4.981285774550603,3.2308660860870924,4.981285774550603,19.856457837827552,
W kernel support bw2 [uv-pixels],,5.661367598698702,1.4792330461194296,7.43180650170586,5.820015910073925,8.97917354708604,8.858211059258924,,,5.661367598698702,1.4792330461194296,6.730124302283981,5.820015910073925,8.97917354708604,8.858211059258924,,,5.661367598698702,1.4792330461194296,6.730124302283981,5.820015910073925,8.97917354708604,8.858211059258924,,,4.439307211390678,0.7193736457952092,,,4.439307211390678,0.7193736457952092,,,5.528733242334771,1.3836854797576588,6.5718807778274035,6.462138336728269,5.248255746957106,8.397076450289363,33.58605179576777,
W kernel support bw3 [uv-pixels],,6.141286316831625,4.194501294411046,7.43180650170586,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,4.194501294411046,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,4.194501294411046,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.782889626767593,2.037893113490042,,,6.782889626767593,2.037893113490042,,,5.528733242334771,3.923139052367293,6.5718807778274035,6.462138336728269,5.248255746957106,9.195195278202114,42.59227873346103,
W kernel support bw4 [uv-pixels],,6.141286316831625,11.923566453263774,7.43180650170586,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,11.923566453263774,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.141286316831625,11.923566453263774,6.730124302283981,6.236875411867346,10.379340274864047,8.858211059258924,,,6.782889626767593,5.782075312871504,,,6.782889626767593,5.782075312871504,,,5.528733242334771,11.149775109773483,6.5718807778274035,6.462138336728269,5.248255746957106,9.195195278202114,42.59227873346103,
AW kernel support bw0 [uv-pixels],(undefined),9.218555348886136,9.001891993496013,9.559028778551603,9.230794943571972,9.53910102572834,9.53910102572834,(undefined),(undefined),9.218555348886136,9.001891993496013,9.395735615779875,9.230794943571972,9.53910102572834,9.53910102572834,(undefined),(undefined),9.218555348886136,9.001891993496013,9.395735615779875,9.230794943571972,9.53910102572834,9.53910102572834,(undefined),(undefined),9.135125909280282,9.000448146604544,(undefined),(undefined),9.135125909280282,9.000448146604544,(undefined),(undefined),9.254172607238772,9.001655764800468,9.49087301594494,9.473318029324574,9.20224849218674,9.473318029324574,14.807575752506388,(undefined)
AW kernel support bw1 [uv-pixels],,9.606819084894056,9.015144068023794,10.509430671991607,9.640117439802276,10.457852734120616,10.457852734120616,,,9.606819084894056,9.015144068023794,10.082405073674611,9.640117439802276,10.457852734120616,10.457852734120616,,,9.606819084894056,9.015144068023794,10.082405073674611,9.640117439802276,10.457852734120616,10.457852734120616,,,9.377966325493233,9.003587372833826,,,9.377966325493233,9.003587372833826,,,9.703527200218918,9.013253709876537,10.332425725761377,10.286554718064751,9.562347811402162,10.286554718064751,21.800892593318814,
AW kernel support bw2 [uv-pixels],,10.632548287574128,9.120752732353388,11.671835668771108,10.717862902347353,12.713204064620756,12.628060150726917,,,10.632548287574128,9.120752732353388,11.238085830077713,10.717862902347353,12.713204064620756,12.628060150726917,,,10.632548287574128,9.120752732353388,11.238085830077713,10.717862902347353,12.713204064620756,12.628060150726917,,,10.03531008574749,9.028704139701594,,,10.03531008574749,9.028704139701594,,,10.562522959260138,9.105744643184991,11.144039526041592,11.079676524294975,10.418454222458738,12.308976111440149,34.77100624411084,
AW kernel support bw3 [uv-pixels],,10.895659577341032,9.92944314192976,11.671835668771108,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,9.92944314192976,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,9.92944314192976,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,11.269764491279815,9.227838768748084,,,11.269764491279815,9.227838768748084,,,10.562522959260138,9.817892850515804,11.144039526041592,11.079676524294975,10.418454222458738,12.866686294624209,43.532771652042044,
AW kernel support bw4 [uv-pixels],,10.895659577341032,14.938923554439835,11.671835668771108,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,14.938923554439835,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,10.895659577341032,14.938923554439835,11.238085830077713,10.94982259688053,13.7379294124484,12.628060150726917,,,11.269764491279815,10.697307835325583,,,11.269764491279815,10.697307835325583,,,10.562522959260138,14.328903831016671,11.144039526041592,11.079676524294975,10.418454222458738,12.866686294624209,43.532771652042044,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],0.007467370056115201,12.234539099939145,0.010195449249949287,12.234539099939145,0.7290980775924667,0.5832784620739734,0.32625437599837714,0.05973896044892161,0.007467370056115201,12.234539099939145,0.010195449249949287,12.234539099939145,0.7290980775924667,0.5832784620739734,0.32625437599837714,0.05973896044892161,0.007467370056115201,12.234539099939145,0.010195449249949287,12.234539099939145,0.7290980775924667,0.5832784620739734,0.32625437599837714,0.05973896044892161,0.007467370056115201,12.06241854874663,0.007236224290288126,(undefined),0.007467370056115201,12.06241854874663,0.007236224290288126,(undefined),0.007467370056115201,12.234539099939145,0.010195449249949287,12.234539099939145,1.0237912535261458,5.118956267630729,0.8190330028209166,0.007467370056115201,0.029869480224460804
Snapshot vis size1 [GB],0.0021075662942208005,3.4530366164513593,0.002877530513709466,3.4530366164513593,0.2057782756134724,0.16462262049077792,0.0920809764387029,0.016860530353766404,0.0021075662942208005,3.4530366164513593,0.002877530513709466,3.4530366164513593,0.2057782756134724,0.16462262049077792,0.0920809764387029,0.016860530353766404,0.0021075662942208005,3.4530366164513593,0.002877530513709466,3.4530366164513593,0.2057782756134724,0.16462262049077792,0.0920809764387029,0.016860530353766404,0.0021075662942208005,3.4044578705863433,0.0020423284633046728,,0.0021075662942208005,3.4044578705863433,0.0020423284633046728,,0.0021075662942208005,3.4530366164513593,0.002877530513709466,3.4530366164513593,0.2889515213569428,1.444757606784714,0.23116121708555426,0.0021075662942208005,0.008430265176883202
Snapshot vis size2 [GB],0.002384299985356801,3.906437096008582,0.0032553642466738183,3.906437096008582,0.2327979626915347,0.18623837015322778,0.10417165589356217,0.019074399882854406,0.002384299985356801,3.906437096008582,0.0032553642466738183,3.906437096008582,0.2327979626915347,0.18623837015322778,0.10417165589356217,0.019074399882854406,0.002384299985356801,3.906437096008582,0.0032553642466738183,3.906437096008582,0.2327979626915347,0.18623837015322778,0.10417165589356217,0.019074399882854406,0.002384299985356801,3.851479724858636,0.0023104961103733376,,0.002384299985356801,3.851479724858636,0.0023104961103733376,,0.002384299985356801,3.906437096008582,0.0032553642466738183,3.906437096008582,0.32689225958365326,1.6344612979182664,0.2615138076669226,0.002384299985356801,0.009537199941427203
Snapshot vis size3 [GB],0.0029978249882112004,4.91163646068523,0.004093030383904359,4.91163646068523,0.29270123476384013,0.2341609878110721,0.13097697228493946,0.023982599905689603,0.0029978249882112004,4.91163646068523,0.004093030383904359,4.91163646068523,0.29270123476384013,0.2341609878110721,0.13097697228493946,0.023982599905689603,0.0029978249882112004,4.91163646068523,0.004093030383904359,4.91163646068523,0.29270123476384013,0.2341609878110721,0.13097697228493946,0.023982599905689603,0.0029978249882112004,4.842537529539177,0.0029050299951268333,,0.0029978249882112004,4.842537529539177,0.0029050299951268333,,0.0029978249882112004,4.91163646068523,0.004093030383904359,4.91163646068523,0.4110077550019572,2.0550387750097863,0.32880620400156574,0.0029978249882112004,0.011991299952844802
Snapshot vis size4 [GB],0.001170938676096,1.9184659269156863,0.001598721605763072,1.9184659269156863,0.11432795365767674,0.0914623629261414,0.0511590913844183,0.009367509408768,0.001170938676096,1.9184659269156863,0.001598721605763072,1.9184659269156863,0.11432795365767674,0.0914623629261414,0.0511590913844183,0.009367509408768,0.001170938676096,1.9184659269156863,0.001598721605763072,1.9184659269156863,0.11432795365767674,0.0914623629261414,0.0511590913844183,0.009367509408768,0.001170938676096,1.891476155573468,0.0011346933159506161,,0.001170938676096,1.891476155573468,0.0011346933159506161,,0.001170938676096,1.9184659269156863,0.001598721605763072,1.9184659269156863,0.16053801619498517,0.8026900809749259,0.12843041295598812,0.001170938676096,0.004683754704384
Facet size [GB],(undefined),0.23355729574604536,0.9691506442136999,0.4415692622698669,0.24228766105342492,0.4307336196505332,0.4307336196505332,(undefined),(undefined),0.23355729574604536,0.9691506442136999,0.3488942319169318,0.24228766105342492,0.4307336196505332,0.4307336196505332,(undefined),(undefined),0.23355729574604536,0.9691506442136999,0.3488942319169318,0.24228766105342492,0.4307336196505332,0.4307336196505332,(undefined),(undefined),0.44616211966749475,0.9792309896680268,(undefined),(undefined),0.44616211966749475,0.9792309896680268,(undefined),(undefined),0.28301626469105406,0.9705633219857813,0.44221291357977194,0.43136147643812517,0.24264083049644541,0.43136147643812517,2.6960092277382826,(undefined)
